category,amount,frequency_deviation,day_of_month,is_weekend,is_anomaly,note
other,3379.04,1.25,13,1,0,Normal transaction in other
rent,24144.27,1.19,7,0,0,Normal transaction in rent
rent,11894.57,1.67,23,0,0,Normal transaction in rent
health,25839.98,5.51,17,1,1,Unusual high spike in health
transport,2414.4,1.03,13,0,0,Normal transaction in transport
other,853.98,0.22,25,1,0,Normal transaction in other
shopping,14256.25,0.48,21,1,0,Normal transaction in shopping
health,6528.99,1.61,14,1,0,Normal transaction in health
food,2051.61,0.29,5,1,0,Normal transaction in food
shopping,69196.9,5.39,25,1,1,Unusual high spike in shopping
health,4502.26,1.43,7,1,0,Normal transaction in health
education,7477.61,0.84,9,0,0,Normal transaction in education
other,1068.78,1.52,4,0,0,Normal transaction in other
food,3192.49,0.2,21,1,0,Normal transaction in food
rent,29582.65,1.73,14,0,0,Normal transaction in rent
entertainment,1032.84,0.77,14,1,0,Normal transaction in entertainment
food,1309.71,0.9,7,0,0,Normal transaction in food
food,3472.42,1.79,24,0,0,Normal transaction in food
shopping,2867.41,0.56,18,0,0,Normal transaction in shopping
health,5598.17,0.67,3,0,0,Normal transaction in health
food,17224.0,4.08,3,0,1,Unusual high spike in food
entertainment,1356.6,1.51,17,0,0,Normal transaction in entertainment
food,263.92,1.72,2,0,0,Normal transaction in food
other,2863.18,0.67,2,1,0,Normal transaction in other
food,2104.88,1.39,25,0,0,Normal transaction in food
rent,31205.93,1.06,16,0,0,Normal transaction in rent
transport,2336.39,0.73,27,1,0,Normal transaction in transport
education,6882.27,1.77,16,1,0,Normal transaction in education
food,3081.68,1.67,9,1,0,Normal transaction in food
other,21523.65,4.15,6,1,1,Unusual high spike in other
health,32997.46,4.12,10,0,1,Unusual high spike in health
food,531.64,0.47,17,1,0,Normal transaction in food
rent,10671.42,0.26,23,0,0,Normal transaction in rent
other,2652.85,0.53,18,1,0,Normal transaction in other
transport,343.21,0.69,13,0,0,Normal transaction in transport
transport,2624.7,1.7,5,1,0,Normal transaction in transport
entertainment,2691.16,1.39,10,0,0,Normal transaction in entertainment
education,19321.62,0.58,2,0,0,Normal transaction in education
transport,1767.42,1.56,7,0,0,Normal transaction in transport
education,20571.87,0.75,10,0,0,Normal transaction in education
other,4590.38,0.66,3,1,0,Normal transaction in other
entertainment,827.17,0.93,5,0,0,Normal transaction in entertainment
rent,35121.1,0.99,27,1,0,Normal transaction in rent
transport,1624.22,1.25,4,1,0,Normal transaction in transport
other,29394.05,5.65,22,1,1,Unusual high spike in other
rent,36357.04,1.79,20,0,0,Normal transaction in rent
rent,34238.85,1.02,2,1,0,Normal transaction in rent
health,975.6,1.68,19,0,0,Normal transaction in health
entertainment,14596.88,3.28,3,1,1,Unusual high spike in entertainment
education,10668.6,0.63,12,0,0,Normal transaction in education
shopping,2081.25,0.71,19,1,0,Normal transaction in shopping
health,1992.33,0.5,7,1,0,Normal transaction in health
rent,30056.03,0.48,21,1,0,Normal transaction in rent
rent,36510.35,1.69,13,1,0,Normal transaction in rent
food,684.78,1.14,21,0,0,Normal transaction in food
food,626.76,1.23,1,1,0,Normal transaction in food
other,2742.44,1.27,21,1,0,Normal transaction in other
shopping,10217.87,0.82,5,0,0,Normal transaction in shopping
shopping,16426.24,1.22,3,0,0,Normal transaction in shopping
other,2725.92,1.1,19,1,0,Normal transaction in other
entertainment,1185.51,0.68,16,0,0,Normal transaction in entertainment
transport,1362.73,0.45,4,0,0,Normal transaction in transport
education,8319.53,0.71,11,0,0,Normal transaction in education
other,5609.33,1.2,9,0,0,Normal transaction in other
education,1280.3,1.21,14,0,0,Normal transaction in education
health,1915.15,1.03,12,0,0,Normal transaction in health
food,1890.31,0.62,24,0,0,Normal transaction in food
entertainment,2287.71,1.3,5,1,0,Normal transaction in entertainment
health,4531.79,0.66,2,0,0,Normal transaction in health
entertainment,1499.91,1.48,11,0,0,Normal transaction in entertainment
entertainment,915.61,1.75,20,0,0,Normal transaction in entertainment
entertainment,2763.66,1.15,18,1,0,Normal transaction in entertainment
rent,35404.6,0.21,7,1,0,Normal transaction in rent
transport,3877.98,0.47,13,0,0,Normal transaction in transport
health,3336.0,1.36,16,1,0,Normal transaction in health
rent,33706.57,1.72,8,0,0,Normal transaction in rent
shopping,9121.55,0.44,27,0,0,Normal transaction in shopping
education,7932.94,1.4,26,1,0,Normal transaction in education
transport,24489.12,5.29,3,1,1,Unusual high spike in transport
education,159271.19,3.03,10,0,1,Unusual high spike in education
shopping,16101.85,0.51,22,1,0,Normal transaction in shopping
education,19191.28,0.83,2,1,0,Normal transaction in education
entertainment,1615.72,1.32,21,1,0,Normal transaction in entertainment
rent,13288.97,1.21,18,1,0,Normal transaction in rent
entertainment,1598.41,1.21,16,0,0,Normal transaction in entertainment
health,2614.86,0.6,3,1,0,Normal transaction in health
transport,670.97,0.39,27,1,0,Normal transaction in transport
other,261.6,0.6,5,0,0,Normal transaction in other
food,3404.88,1.47,14,0,0,Normal transaction in food
food,3049.68,1.0,18,1,0,Normal transaction in food
entertainment,2340.14,0.51,24,1,0,Normal transaction in entertainment
entertainment,2105.4,0.27,23,1,0,Normal transaction in entertainment
rent,23509.46,1.32,10,1,0,Normal transaction in rent
education,20515.84,1.17,1,0,0,Normal transaction in education
food,20245.52,4.29,19,1,1,Unusual high spike in food
education,7293.3,0.83,6,1,0,Normal transaction in education
entertainment,526.73,0.65,13,0,0,Normal transaction in entertainment
entertainment,202.26,1.79,17,0,0,Normal transaction in entertainment
rent,17147.86,1.06,6,1,0,Normal transaction in rent
entertainment,1747.33,0.2,15,1,0,Normal transaction in entertainment
transport,947.57,1.12,13,1,0,Normal transaction in transport
health,1492.97,0.35,26,0,0,Normal transaction in health
transport,3383.57,0.3,18,0,0,Normal transaction in transport
shopping,706.93,0.9,26,0,0,Normal transaction in shopping
food,651.76,0.64,6,1,0,Normal transaction in food
shopping,7338.6,1.36,26,0,0,Normal transaction in shopping
health,4118.03,1.71,3,1,0,Normal transaction in health
other,4085.55,1.1,26,1,0,Normal transaction in other
rent,10512.01,0.77,18,0,0,Normal transaction in rent
food,2938.34,1.49,7,0,0,Normal transaction in food
transport,3929.64,0.53,16,0,0,Normal transaction in transport
rent,29266.49,0.38,1,0,0,Normal transaction in rent
other,3693.27,1.35,3,0,0,Normal transaction in other
shopping,3368.7,1.46,15,1,0,Normal transaction in shopping
entertainment,840.97,0.75,23,1,0,Normal transaction in entertainment
transport,2681.73,0.41,24,0,0,Normal transaction in transport
health,4026.91,0.53,1,0,0,Normal transaction in health
rent,5979.81,0.4,9,1,0,Normal transaction in rent
health,7145.28,1.08,12,1,0,Normal transaction in health
rent,135447.6,6.04,19,1,1,Unusual high spike in rent
education,20986.4,0.84,18,1,0,Normal transaction in education
food,2393.0,1.04,26,1,0,Normal transaction in food
food,2269.96,0.79,1,0,0,Normal transaction in food
education,20189.63,0.47,19,1,0,Normal transaction in education
health,35405.19,5.78,5,0,1,Unusual high spike in health
transport,4207.03,1.75,6,0,0,Normal transaction in transport
shopping,112549.12,4.84,21,0,1,Unusual high spike in shopping
rent,20445.66,1.4,5,0,0,Normal transaction in rent
shopping,2655.39,0.51,9,0,0,Normal transaction in shopping
education,4132.47,1.41,7,0,0,Normal transaction in education
other,24259.88,3.57,9,0,1,Unusual high spike in other
other,5290.06,0.42,15,0,0,Normal transaction in other
health,1427.1,1.2,16,1,0,Normal transaction in health
transport,2185.84,1.77,17,1,0,Normal transaction in transport
rent,32511.91,0.74,22,0,0,Normal transaction in rent
health,3862.34,0.52,17,1,0,Normal transaction in health
food,1098.34,1.6,14,1,0,Normal transaction in food
health,2085.89,1.6,24,1,0,Normal transaction in health
transport,326.29,1.2,10,1,0,Normal transaction in transport
education,4224.94,0.39,1,1,0,Normal transaction in education
entertainment,1799.0,1.21,18,0,0,Normal transaction in entertainment
education,3453.25,0.3,21,0,0,Normal transaction in education
education,9011.38,0.25,9,1,0,Normal transaction in education
entertainment,642.09,1.44,15,0,0,Normal transaction in entertainment
food,1182.97,0.77,28,1,0,Normal transaction in food
transport,378.31,1.44,21,1,0,Normal transaction in transport
transport,15365.55,4.42,13,1,1,Unusual high spike in transport
shopping,9433.22,1.12,8,1,0,Normal transaction in shopping
rent,19822.89,1.63,27,0,0,Normal transaction in rent
rent,23929.73,1.29,7,1,0,Normal transaction in rent
shopping,5392.03,0.96,25,1,0,Normal transaction in shopping
entertainment,825.22,1.13,5,1,0,Normal transaction in entertainment
education,6392.23,0.2,2,1,0,Normal transaction in education
education,11585.81,1.76,26,0,0,Normal transaction in education
transport,2277.28,0.73,20,1,0,Normal transaction in transport
entertainment,2424.16,0.71,10,0,0,Normal transaction in entertainment
entertainment,1560.66,1.16,1,1,0,Normal transaction in entertainment
food,254.01,0.84,27,0,0,Normal transaction in food
health,4914.13,1.31,20,0,0,Normal transaction in health
shopping,2762.52,0.73,28,0,0,Normal transaction in shopping
health,4452.54,1.37,27,0,0,Normal transaction in health
health,5028.84,1.61,7,1,0,Normal transaction in health
other,5437.52,1.57,16,1,0,Normal transaction in other
other,2580.5,1.59,5,1,0,Normal transaction in other
entertainment,1652.82,0.32,10,0,0,Normal transaction in entertainment
rent,22687.42,0.63,6,1,0,Normal transaction in rent
food,2726.77,1.19,19,1,0,Normal transaction in food
health,4795.88,1.09,8,1,0,Normal transaction in health
shopping,2870.26,1.19,16,1,0,Normal transaction in shopping
entertainment,9870.54,5.93,16,0,1,Unusual high spike in entertainment
transport,2929.6,0.79,19,0,0,Normal transaction in transport
health,5782.32,1.39,10,1,0,Normal transaction in health
education,14393.53,0.51,13,1,0,Normal transaction in education
other,1612.39,1.56,4,1,0,Normal transaction in other
education,2249.8,1.25,3,1,0,Normal transaction in education
health,7798.69,1.39,7,1,0,Normal transaction in health
transport,4418.55,1.17,1,0,0,Normal transaction in transport
shopping,12903.11,0.56,13,1,0,Normal transaction in shopping
education,14419.65,0.61,2,0,0,Normal transaction in education
health,34321.31,6.29,14,1,1,Unusual high spike in health
entertainment,289.02,0.57,19,1,0,Normal transaction in entertainment
rent,17580.4,1.17,6,1,0,Normal transaction in rent
health,4543.54,0.6,1,1,0,Normal transaction in health
other,272.42,0.55,11,1,0,Normal transaction in other
education,13934.87,0.99,17,1,0,Normal transaction in education
health,5906.62,0.91,17,1,0,Normal transaction in health
rent,37889.2,0.44,18,1,0,Normal transaction in rent
shopping,4248.07,0.32,4,0,0,Normal transaction in shopping
transport,3420.07,1.03,17,0,0,Normal transaction in transport
health,4908.77,0.53,14,1,0,Normal transaction in health
food,903.81,1.12,13,1,0,Normal transaction in food
entertainment,1829.2,0.4,19,1,0,Normal transaction in entertainment
health,1396.78,1.47,4,1,0,Normal transaction in health
rent,30053.49,0.48,5,0,0,Normal transaction in rent
food,3491.43,1.58,25,0,0,Normal transaction in food
entertainment,1956.57,1.61,17,0,0,Normal transaction in entertainment
health,5615.33,0.48,21,1,0,Normal transaction in health
food,2670.62,0.32,9,1,0,Normal transaction in food
education,11544.81,1.18,9,0,0,Normal transaction in education
education,13540.79,0.41,22,0,0,Normal transaction in education
transport,4289.24,0.61,5,0,0,Normal transaction in transport
other,5434.62,0.32,5,0,0,Normal transaction in other
entertainment,1652.43,0.66,18,0,0,Normal transaction in entertainment
food,245.25,1.31,10,0,0,Normal transaction in food
entertainment,1585.62,1.19,3,1,0,Normal transaction in entertainment
food,504.16,1.09,14,0,0,Normal transaction in food
entertainment,867.97,0.23,1,0,0,Normal transaction in entertainment
health,1613.74,0.8,5,1,0,Normal transaction in health
entertainment,2815.18,0.85,20,0,0,Normal transaction in entertainment
education,12952.34,0.57,10,1,0,Normal transaction in education
food,2547.32,0.86,1,1,0,Normal transaction in food
education,9364.35,0.28,7,1,0,Normal transaction in education
education,22665.1,0.68,16,0,0,Normal transaction in education
shopping,11188.16,0.21,10,1,0,Normal transaction in shopping
transport,1840.48,0.37,2,1,0,Normal transaction in transport
food,2297.71,1.06,12,1,0,Normal transaction in food
other,1242.14,0.37,14,0,0,Normal transaction in other
education,16346.75,0.8,8,1,0,Normal transaction in education
education,1321.06,0.61,11,0,0,Normal transaction in education
food,3176.02,1.58,27,1,0,Normal transaction in food
transport,1847.86,0.3,15,0,0,Normal transaction in transport
health,1171.8,1.31,6,0,0,Normal transaction in health
health,5948.3,0.71,9,1,0,Normal transaction in health
other,5299.38,0.84,12,1,0,Normal transaction in other
food,1697.73,1.75,3,0,0,Normal transaction in food
transport,3956.14,1.8,28,1,0,Normal transaction in transport
rent,33306.16,0.46,1,1,0,Normal transaction in rent
rent,15091.54,1.38,15,0,0,Normal transaction in rent
other,715.88,1.67,21,1,0,Normal transaction in other
transport,1334.69,0.24,2,0,0,Normal transaction in transport
rent,34199.09,1.23,24,0,0,Normal transaction in rent
health,3480.89,1.3,22,1,0,Normal transaction in health
entertainment,2518.21,1.78,21,1,0,Normal transaction in entertainment
entertainment,2991.3,0.93,28,0,0,Normal transaction in entertainment
entertainment,378.46,1.26,26,1,0,Normal transaction in entertainment
transport,407.68,1.38,26,1,0,Normal transaction in transport
other,1220.45,1.6,13,1,0,Normal transaction in other
health,43900.32,5.57,17,0,1,Unusual high spike in health
food,1061.18,1.02,25,1,0,Normal transaction in food
transport,2375.29,0.34,24,1,0,Normal transaction in transport
food,2205.14,1.72,2,0,0,Normal transaction in food
entertainment,974.33,1.04,3,0,0,Normal transaction in entertainment
education,16285.38,1.57,14,1,0,Normal transaction in education
education,10534.65,0.83,7,0,0,Normal transaction in education
food,1241.51,0.54,7,0,0,Normal transaction in food
education,15446.91,0.94,4,1,0,Normal transaction in education
education,10196.88,1.32,13,0,0,Normal transaction in education
entertainment,2952.53,0.25,18,0,0,Normal transaction in entertainment
food,15136.82,4.15,10,1,1,Unusual high spike in food
education,10906.43,1.65,19,1,0,Normal transaction in education
shopping,495.77,0.5,25,0,0,Normal transaction in shopping
entertainment,1306.0,0.46,19,1,0,Normal transaction in entertainment
entertainment,776.23,0.82,1,1,0,Normal transaction in entertainment
health,5257.04,1.64,25,1,0,Normal transaction in health
education,21368.88,1.04,22,0,0,Normal transaction in education
rent,38313.17,0.76,4,0,0,Normal transaction in rent
shopping,9554.88,1.0,6,1,0,Normal transaction in shopping
food,3112.08,1.53,3,1,0,Normal transaction in food
health,32735.15,3.28,12,1,1,Unusual high spike in health
shopping,4585.13,0.86,27,0,0,Normal transaction in shopping
education,16213.45,0.5,13,0,0,Normal transaction in education
food,1193.61,0.37,17,0,0,Normal transaction in food
shopping,17083.71,1.77,27,0,0,Normal transaction in shopping
other,3891.23,0.44,4,0,0,Normal transaction in other
education,1971.2,0.27,19,0,0,Normal transaction in education
food,768.52,0.59,11,0,0,Normal transaction in food
education,12325.41,0.47,9,0,0,Normal transaction in education
food,397.0,0.32,7,1,0,Normal transaction in food
rent,38154.55,1.68,1,0,0,Normal transaction in rent
other,753.38,1.22,28,0,0,Normal transaction in other
health,7839.75,0.35,7,1,0,Normal transaction in health
food,2741.37,1.11,12,1,0,Normal transaction in food
rent,16507.37,1.41,12,0,0,Normal transaction in rent
transport,4016.97,0.8,16,1,0,Normal transaction in transport
entertainment,16686.41,6.42,15,1,1,Unusual high spike in entertainment
health,2426.0,1.6,8,1,0,Normal transaction in health
other,5273.38,1.13,23,0,0,Normal transaction in other
entertainment,907.96,1.44,20,0,0,Normal transaction in entertainment
transport,2933.58,0.66,10,0,0,Normal transaction in transport
other,764.68,0.42,4,0,0,Normal transaction in other
entertainment,1340.9,1.54,18,0,0,Normal transaction in entertainment
health,3792.11,1.77,14,1,0,Normal transaction in health
education,21040.65,1.64,3,1,0,Normal transaction in education
education,13481.42,1.33,22,1,0,Normal transaction in education
education,11229.75,0.94,4,0,0,Normal transaction in education
shopping,72070.82,3.64,6,1,1,Unusual high spike in shopping
shopping,3225.91,1.31,25,0,0,Normal transaction in shopping
education,17143.84,0.27,22,1,0,Normal transaction in education
health,4764.92,1.16,10,1,0,Normal transaction in health
shopping,904.91,0.45,26,0,0,Normal transaction in shopping
shopping,9242.14,0.64,26,1,0,Normal transaction in shopping
health,7438.8,1.26,18,0,0,Normal transaction in health
other,5982.84,0.59,17,1,0,Normal transaction in other
other,505.76,0.37,7,0,0,Normal transaction in other
other,5063.28,1.25,21,0,0,Normal transaction in other
rent,188819.24,4.63,26,0,1,Unusual high spike in rent
education,995.92,1.27,27,0,0,Normal transaction in education
education,1217.15,1.52,27,1,0,Normal transaction in education
transport,2787.68,1.64,18,1,0,Normal transaction in transport
transport,1461.44,1.01,14,1,0,Normal transaction in transport
shopping,48415.28,3.86,3,1,1,Unusual high spike in shopping
health,4617.44,0.52,12,0,0,Normal transaction in health
shopping,9101.14,0.22,11,1,0,Normal transaction in shopping
rent,40215.21,0.99,4,1,0,Normal transaction in rent
food,978.76,1.44,21,0,0,Normal transaction in food
other,4734.67,1.72,2,1,0,Normal transaction in other
other,4999.52,1.67,7,0,0,Normal transaction in other
education,24777.56,0.87,27,0,0,Normal transaction in education
rent,8832.42,0.95,13,1,0,Normal transaction in rent
food,3114.74,1.46,18,1,0,Normal transaction in food
shopping,849.97,1.49,2,1,0,Normal transaction in shopping
rent,39558.83,1.38,28,0,0,Normal transaction in rent
other,1744.56,1.1,27,1,0,Normal transaction in other
rent,33146.8,0.65,15,0,0,Normal transaction in rent
rent,37942.83,1.5,26,0,0,Normal transaction in rent
rent,192442.47,4.95,12,0,1,Unusual high spike in rent
rent,30700.33,1.75,22,0,0,Normal transaction in rent
other,741.75,0.83,17,0,0,Normal transaction in other
entertainment,1455.5,0.93,5,0,0,Normal transaction in entertainment
other,2106.91,1.2,12,1,0,Normal transaction in other
rent,34026.56,0.46,9,1,0,Normal transaction in rent
health,5567.27,0.99,24,0,0,Normal transaction in health
health,3730.36,1.22,9,1,0,Normal transaction in health
education,15090.76,1.24,13,0,0,Normal transaction in education
education,4727.21,0.78,24,0,0,Normal transaction in education
health,4459.74,1.64,25,0,0,Normal transaction in health
rent,23490.85,1.02,13,0,0,Normal transaction in rent
shopping,7183.96,1.06,18,0,0,Normal transaction in shopping
shopping,10324.73,1.48,22,1,0,Normal transaction in shopping
entertainment,1273.27,0.93,2,0,0,Normal transaction in entertainment
other,3825.98,1.46,6,0,0,Normal transaction in other
rent,32470.27,0.65,27,0,0,Normal transaction in rent
entertainment,1389.18,1.75,24,0,0,Normal transaction in entertainment
shopping,9834.53,0.79,22,0,0,Normal transaction in shopping
education,14390.14,1.5,19,1,0,Normal transaction in education
other,2891.42,1.11,15,0,0,Normal transaction in other
health,4074.68,0.35,12,0,0,Normal transaction in health
shopping,1459.62,0.26,4,0,0,Normal transaction in shopping
rent,17627.06,1.47,16,1,0,Normal transaction in rent
entertainment,2678.65,1.09,2,1,0,Normal transaction in entertainment
rent,13219.39,0.49,26,0,0,Normal transaction in rent
education,23251.58,1.3,26,1,0,Normal transaction in education
transport,2447.83,0.77,9,0,0,Normal transaction in transport
other,1858.82,1.33,24,0,0,Normal transaction in other
rent,8735.3,1.64,20,0,0,Normal transaction in rent
transport,3588.81,1.56,4,1,0,Normal transaction in transport
rent,5164.66,1.23,18,1,0,Normal transaction in rent
rent,35662.77,0.86,5,0,0,Normal transaction in rent
food,1557.28,1.35,15,0,0,Normal transaction in food
entertainment,1239.86,0.74,9,1,0,Normal transaction in entertainment
other,4931.41,0.26,27,1,0,Normal transaction in other
food,1683.62,0.55,21,1,0,Normal transaction in food
other,1529.57,1.18,19,0,0,Normal transaction in other
other,2937.87,1.32,23,1,0,Normal transaction in other
transport,523.52,1.23,25,0,0,Normal transaction in transport
transport,3909.35,1.08,26,1,0,Normal transaction in transport
rent,43148.64,1.28,6,1,0,Normal transaction in rent
other,546.92,0.58,12,0,0,Normal transaction in other
other,3054.19,1.08,8,1,0,Normal transaction in other
entertainment,11768.25,3.71,12,0,1,Unusual high spike in entertainment
shopping,12114.4,1.15,2,0,0,Normal transaction in shopping
food,2539.55,0.96,18,1,0,Normal transaction in food
entertainment,11094.81,4.45,22,1,1,Unusual high spike in entertainment
transport,2404.08,1.48,9,1,0,Normal transaction in transport
food,1838.6,0.86,14,1,0,Normal transaction in food
health,4599.85,1.25,11,1,0,Normal transaction in health
health,1977.84,0.68,19,0,0,Normal transaction in health
rent,10491.2,1.75,17,0,0,Normal transaction in rent
shopping,12954.11,0.41,17,0,0,Normal transaction in shopping
education,4961.11,1.29,27,1,0,Normal transaction in education
entertainment,2629.38,0.34,11,1,0,Normal transaction in entertainment
health,844.44,1.37,14,0,0,Normal transaction in health
transport,18923.78,5.86,7,0,1,Unusual high spike in transport
education,10360.2,0.85,6,1,0,Normal transaction in education
entertainment,986.34,1.54,12,1,0,Normal transaction in entertainment
transport,3303.36,1.22,27,1,0,Normal transaction in transport
food,2793.52,0.59,27,0,0,Normal transaction in food
education,12179.54,1.71,18,1,0,Normal transaction in education
transport,2089.62,0.66,11,0,0,Normal transaction in transport
food,3362.71,0.35,22,0,0,Normal transaction in food
transport,14660.09,5.14,2,1,1,Unusual high spike in transport
rent,28988.63,0.32,4,1,0,Normal transaction in rent
other,2069.64,1.6,21,1,0,Normal transaction in other
other,5168.29,1.54,9,0,0,Normal transaction in other
entertainment,906.52,1.62,1,1,0,Normal transaction in entertainment
education,11068.87,0.66,21,1,0,Normal transaction in education
shopping,7576.36,1.78,28,0,0,Normal transaction in shopping
shopping,5713.97,0.92,13,1,0,Normal transaction in shopping
health,3316.62,1.18,27,0,0,Normal transaction in health
food,13358.44,3.98,14,1,1,Unusual high spike in food
food,2903.58,0.95,19,1,0,Normal transaction in food
entertainment,382.68,1.1,13,1,0,Normal transaction in entertainment
rent,33570.58,0.96,19,0,0,Normal transaction in rent
shopping,8280.12,0.75,22,0,0,Normal transaction in shopping
health,7208.49,1.11,15,0,0,Normal transaction in health
food,609.89,0.76,5,1,0,Normal transaction in food
education,14776.03,1.66,11,0,0,Normal transaction in education
health,1162.54,0.95,10,1,0,Normal transaction in health
shopping,103560.84,3.69,1,0,1,Unusual high spike in shopping
health,48685.21,5.06,4,1,1,Unusual high spike in health
health,1754.76,0.79,14,0,0,Normal transaction in health
entertainment,2143.18,1.58,28,1,0,Normal transaction in entertainment
transport,2328.92,0.99,11,1,0,Normal transaction in transport
transport,2795.86,1.03,15,0,0,Normal transaction in transport
transport,1122.78,1.46,10,0,0,Normal transaction in transport
education,4129.43,0.54,3,1,0,Normal transaction in education
food,2978.61,1.33,13,0,0,Normal transaction in food
rent,38990.54,1.69,19,0,0,Normal transaction in rent
rent,15010.78,1.52,1,0,0,Normal transaction in rent
health,30597.63,5.76,26,1,1,Unusual high spike in health
food,3348.52,1.28,2,1,0,Normal transaction in food
health,6657.68,1.32,16,0,0,Normal transaction in health
rent,18703.97,0.25,20,1,0,Normal transaction in rent
entertainment,2669.18,0.95,6,1,0,Normal transaction in entertainment
rent,130278.81,3.1,3,1,1,Unusual high spike in rent
entertainment,1463.82,0.69,2,1,0,Normal transaction in entertainment
health,3590.93,0.76,24,0,0,Normal transaction in health
rent,32707.17,0.35,2,1,0,Normal transaction in rent
entertainment,2720.04,0.3,21,1,0,Normal transaction in entertainment
entertainment,423.29,0.95,20,1,0,Normal transaction in entertainment
shopping,6150.36,0.42,5,1,0,Normal transaction in shopping
shopping,10954.81,1.05,6,1,0,Normal transaction in shopping
food,563.12,1.27,5,1,0,Normal transaction in food
education,13725.74,1.55,6,1,0,Normal transaction in education
health,1001.19,1.25,5,0,0,Normal transaction in health
health,6071.16,1.21,19,1,0,Normal transaction in health
entertainment,2095.77,1.21,22,0,0,Normal transaction in entertainment
shopping,3459.51,1.74,27,1,0,Normal transaction in shopping
rent,250632.11,3.59,13,1,1,Unusual high spike in rent
transport,1306.02,1.0,17,0,0,Normal transaction in transport
entertainment,2523.41,1.35,19,0,0,Normal transaction in entertainment
transport,379.61,0.61,13,1,0,Normal transaction in transport
health,5563.15,0.87,3,1,0,Normal transaction in health
shopping,64527.15,6.33,17,1,1,Unusual high spike in shopping
shopping,7519.85,0.36,17,1,0,Normal transaction in shopping
entertainment,879.76,1.29,11,0,0,Normal transaction in entertainment
health,7906.12,0.84,1,0,0,Normal transaction in health
other,424.81,0.53,15,1,0,Normal transaction in other
food,12569.73,3.04,11,0,1,Unusual high spike in food
transport,2168.78,0.94,3,1,0,Normal transaction in transport
education,7280.84,0.22,13,0,0,Normal transaction in education
shopping,15981.31,1.44,15,1,0,Normal transaction in shopping
rent,7135.43,1.76,6,1,0,Normal transaction in rent
rent,21176.81,1.07,28,0,0,Normal transaction in rent
shopping,17874.84,0.88,15,0,0,Normal transaction in shopping
other,4040.74,1.58,8,0,0,Normal transaction in other
entertainment,964.68,0.49,28,0,0,Normal transaction in entertainment
entertainment,1451.88,0.26,13,0,0,Normal transaction in entertainment
health,3263.2,1.65,4,0,0,Normal transaction in health
transport,2148.7,0.92,3,1,0,Normal transaction in transport
health,24427.62,4.4,22,1,1,Unusual high spike in health
shopping,15999.76,0.34,28,1,0,Normal transaction in shopping
entertainment,1134.97,0.7,15,0,0,Normal transaction in entertainment
other,2452.5,1.57,28,0,0,Normal transaction in other
transport,22032.94,6.41,16,0,1,Unusual high spike in transport
food,633.27,1.35,15,0,0,Normal transaction in food
entertainment,2421.39,0.21,23,0,0,Normal transaction in entertainment
education,7413.66,1.19,13,0,0,Normal transaction in education
other,31450.57,6.18,11,0,1,Unusual high spike in other
health,1503.0,1.42,25,0,0,Normal transaction in health
rent,13335.85,0.5,13,0,0,Normal transaction in rent
entertainment,2980.62,1.53,17,0,0,Normal transaction in entertainment
food,2852.84,0.53,25,1,0,Normal transaction in food
education,19784.16,0.52,22,0,0,Normal transaction in education
transport,21811.03,5.58,28,0,1,Unusual high spike in transport
shopping,17993.64,1.6,16,0,0,Normal transaction in shopping
shopping,9461.6,0.97,19,0,0,Normal transaction in shopping
rent,36893.03,0.29,13,0,0,Normal transaction in rent
rent,6599.48,1.72,25,0,0,Normal transaction in rent
entertainment,1653.79,1.14,9,0,0,Normal transaction in entertainment
shopping,12521.58,1.58,1,1,0,Normal transaction in shopping
shopping,10933.71,0.9,18,0,0,Normal transaction in shopping
food,558.52,1.41,4,0,0,Normal transaction in food
food,1841.94,0.95,18,0,0,Normal transaction in food
transport,4208.63,0.82,11,1,0,Normal transaction in transport
shopping,8982.28,1.13,22,0,0,Normal transaction in shopping
transport,896.2,0.88,17,0,0,Normal transaction in transport
other,2074.69,0.89,27,1,0,Normal transaction in other
health,764.32,0.65,20,1,0,Normal transaction in health
other,2404.7,1.11,6,0,0,Normal transaction in other
other,2443.51,1.43,1,0,0,Normal transaction in other
other,1904.19,0.62,27,0,0,Normal transaction in other
shopping,16106.37,0.22,18,0,0,Normal transaction in shopping
other,947.22,1.43,24,0,0,Normal transaction in other
rent,41665.95,1.0,13,0,0,Normal transaction in rent
entertainment,593.57,0.21,9,0,0,Normal transaction in entertainment
entertainment,1044.7,0.51,3,0,0,Normal transaction in entertainment
rent,21926.06,1.33,1,0,0,Normal transaction in rent
other,3528.13,1.47,19,0,0,Normal transaction in other
education,13843.86,1.7,18,1,0,Normal transaction in education
food,18464.9,4.57,11,1,1,Unusual high spike in food
transport,1295.16,0.49,3,1,0,Normal transaction in transport
transport,2734.16,1.24,14,1,0,Normal transaction in transport
entertainment,1270.38,1.36,18,0,0,Normal transaction in entertainment
education,22219.96,0.6,3,0,0,Normal transaction in education
shopping,9922.33,1.46,22,1,0,Normal transaction in shopping
education,22194.94,1.73,7,1,0,Normal transaction in education
shopping,2764.51,1.56,6,0,0,Normal transaction in shopping
rent,19016.27,0.28,16,1,0,Normal transaction in rent
transport,13401.11,6.15,14,0,1,Unusual high spike in transport
shopping,2401.11,0.69,24,1,0,Normal transaction in shopping
entertainment,1897.31,1.75,23,1,0,Normal transaction in entertainment
food,1273.73,0.47,6,0,0,Normal transaction in food
